time,bandwidth_utilization_Mbps,packet_loss_count,packet_delivery_ratio,congestion_ratio
1,0,7636,0,16.178
2,0,636,0,15.9
3,0.335872,2816,0.238372,16.3721
4,0.876544,4167,0.42126,16.4055
5,0,636,0,15.9
6,0.565248,3136,0.359375,16.3333
7,0.073728,3171,0.0909091,16.0152
8,0.57344,3436,0.333333,16.3619
9,0.360448,2088,0.34375,16.3125
10,0.540672,2814,0.383721,16.3605
11,0.393216,2571,0.350318,16.3758
12,1.024,6511,0.367758,16.4005
13,0,636,0,15.9
14,0.774144,8200,0.208661,16.1417
15,0.53248,14900,0.12221,15.8342
16,0.53248,3425,0.308057,16.2322
17,0.679936,3552,0.382488,16.3687
18,0.876544,5749,0.424929,16.2861
19,0.720896,5431,0.440828,16.068
20,1.04038,7408,0.366446,16.3532
21,0.262144,1711,0.307692,16.4519
22,0.589824,3648,0.32,16.2133
23,0.319488,1923,0.330508,16.2966
24,0.270336,1725,0.311321,16.2736
25,0.57344,3410,0.338164,16.4734
26,0.94208,5879,0.389503,16.2403
27,1.13869,7247,0.441964,16.1763
28,0.913408,6741,0.375,16.2043
29,0.770048,3755,0.412281,16.4693
30,0.360448,2784,0.385057,16
31,0.794624,5219,0.3375,16.3094
32,0.499712,4540,0.429577,15.9859
33,1.01581,5768,0.442254,16.2479
34,0.06144,1116,0.214286,15.9429
35,0.393216,2220,0.352941,16.3235
36,0.598016,3521,0.339535,16.3767
37,0.651264,4935,0.338816,16.2336
38,0.630784,3721,0.333333,16.1082
39,0.344064,2023,0.33871,16.3145
40,1.0199,5216,0.399371,16.4025
41,0.331776,2908,0.359116,16.0663
42,1.10592,7728,0.410901,16.2013
43,1.06496,5609,0.44186,16.3052
44,0.425984,3964,0.419355,15.9839
45,0.647168,3262,0.396985,16.392
46,0.405504,4187,0.337165,16.0421
47,0.884736,4802,0.391156,16.3333
48,0.38912,4298,0.354478,16.0373
49,0.843776,4911,0.412752,16.4799
50,0.745472,4594,0.357143,16.4071
51,0.458752,2486,0.368421,16.3553
